4198322,3439066,5224241,4589656,19117912,19716826,18923284,18966923,3009205,3314405,3821212
4440778,3395647,4174090,4599194,18606963,18387650,19436094,18600070,2953989,3808732,3051274
5133481,4669394,4382098,5371201,10310462,9979053,9986492,10345078,3268884,3598715,3098916
3566388,4866443,4600714,5317643,10101905,10242217,9959447,10130150,3240718,4803004,3527615
5706188,3704533,6094609,4618311,8429473,8407552,8120375,8467989,3736992,4259538,5573863
5523136,3738286,5469441,5727102,7980839,8330798,8273210,8218663,5541157,3814457,3713771
5708049,4096909,5594154,4741095,8185073,8252806,8252434,8176346,3831026,3930543,3775478
5779109,3828062,5711552,4790478,8129435,8264665,8295552,8174212,3861373,3918852,3809562
5809520,3855745,5697496,4794887,8292245,8454303,8430077,8489516,4164166,4148721,4060943
6485988,4336788,6387075,5349760,9032617,9207111,9178655,9105008,4388199,4428076,4216522
6528246,4312651,6463967,5396414,9189224,9312577,9292348,9212702,4353480,4504881,4217068
6484222,4281441,6374902,5338877,9424102,9178461,9226210,9122013,4392081,4316227,4227270
6396984,4179105,6143502,5128039,8583594,8483332,8552679,8416231,3996384,4055371,3830871
5845172,3818188,5688455,4782813,8092029,8218290,8251402,8183148,3940161,3996365,3811080
5833646,3829026,5648017,4791379,8152617,8208546,8212013,8187026,3949754,3993028,3812498
5863617,3838591,5662567,4790858,8132465,8218820,8257399,8174079,3875790,4023681,3809559
