16409792,15162365,16616688,170617,20624693,19672278
28774753,28443874,27231077,178320,13685195,12304652
24246546,25466614,26648911,173833,12481511,11803064
27970857,26912795,29505929,166322,16134726,10885948
22828869,19493466,25851121,171079,18609466,24391673
22777520,20025007,20781222,149865,20100507,18011491
20634709,23387682,25309312,171447,10303852,12449688
25476735,23333134,25172293,175171,9043991,9101397
26651946,26355685,23119530,161813,9058225,9135219
20973513,21907536,20003075,168227,8718750,8777077
23717681,24083707,26449516,168348,11923643,11910803
25292642,22522826,22178119,166003,8775796,8787930
22930353,21251550,22659523,167739,9533988,8823795
21099710,23083660,22035206,160076,10494188,8958518
23231971,24078063,26880518,168641,9063469,11315241
25824607,24263511,27614337,187011,11731473,9474845
27972332,28745880,26409281,181836,10464347,9548455
24287197,24707103,25352080,199152,15658568,15674106
14919663,14412458,18188420,186181,18623490,21576034
9667362,11965160,9725934,136584,21750964,21762897
11130652,15398679,15388671,151882,26182054,26720788
18275398,16567814,14580433,147301,17889331,17529246
16367966,18128532,16115957,176877,22223653,18817571
10652718,9508565,9471199,111620,25101245,22569807
11490547,13022561,17329020,166189,25009348,25855369
11988345,9715354,9698294,136844,24223272,20616884
9626611,11896397,9694046,114279,23503516,23025556
16150925,14751664,19509695,169844,19912260,17454517
16031258,14213563,14231433,144696,19278747,17199599
14246350,15410210,16690146,206237,25813909,25578632
11033273,9730947,11749687,135770,27720687,26229985
9613965,10229705,10343833,144735,27890361,28902814
9290899,9564742,9529356,119646,28891405,29360421
9031471,9059327,9012243,114037,29527122,29564712
9054428,9036803,9061796,115342,29548321,30058690
10340533,10371482,10389582,111771,28847176,28257593
18072389,17183410,17192655,132538,14843370,14711393
23983878,24792128,25445341,167460,9208423,9221974
23132088,24938017,24755143,146053,9343489,9282403
23699613,26624788,25819042,155341,11781527,9529746
26493586,23870001,26255254,181226,11569996,9315836
26548742,25115052,24583995,218423,12318576,13093158
20058563,19604154,19498335,157354,20908661,18085727
17754979,13448002,14009219,162142,15491182,14307873
20965976,19691259,20773591,187561,16882616,19225895
21058445,22529557,21380609,193563,18526046,19264317
19278447,18885789,20517763,169099,17174165,16419179
15397397,18866167,14597635,172326,15247878,13389901
19649967,18503934,20529455,184298,15250195,18675802
15660328,16901582,21696173,169838,15565279,17192825
18518831,23660685,18588041,186367,16737014,19754045
15867200,24394016,20613422,176267,21746385,16036227
